Statistical profiling result from conConsoleLog.log, (8067 ticks, 14 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      2    0.0%    0.1%  LazyCompile: *__generator /home/leopoldo/CoderHouse/backend/backend_entregables/clase 16 - Logs debug profiling/node_modules/express-handlebars/dist/express-handlebars.js:27:58
      2    0.0%    0.1%  LazyCompile: *SubExpression /home/leopoldo/CoderHouse/backend/backend_entregables/clase 16 - Logs debug profiling/node_modules/handlebars/dist/cjs/handlebars/compiler/compiler.js:236:40
      2    0.0%    0.1%  LazyCompile: *SourceNode /home/leopoldo/CoderHouse/backend/backend_entregables/clase 16 - Logs debug profiling/node_modules/source-map/lib/source-node.js:35:20
      2    0.0%    0.1%  LazyCompile: *PathExpression /home/leopoldo/CoderHouse/backend/backend_entregables/clase 16 - Logs debug profiling/node_modules/handlebars/dist/cjs/handlebars/compiler/compiler.js:289:42
      2    0.0%    0.1%  LazyCompile: *MustacheStatement /home/leopoldo/CoderHouse/backend/backend_entregables/clase 16 - Logs debug profiling/node_modules/handlebars/dist/cjs/handlebars/compiler/compiler.js:215:48
      2    0.0%    0.1%  LazyCompile: *Glob._processReaddir2 /home/leopoldo/CoderHouse/backend/backend_entregables/clase 16 - Logs debug profiling/node_modules/glob/glob.js:375:44
      2    0.0%    0.1%  LazyCompile: *<anonymous> /home/leopoldo/CoderHouse/backend/backend_entregables/clase 16 - Logs debug profiling/node_modules/handlebars/dist/cjs/handlebars/runtime.js:360:47
      2    0.0%    0.1%  LazyCompile: *<anonymous> /home/leopoldo/CoderHouse/backend/backend_entregables/clase 16 - Logs debug profiling/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:274:31
      2    0.0%    0.1%  LazyCompile: *<anonymous> /home/leopoldo/CoderHouse/backend/backend_entregables/clase 16 - Logs debug profiling/node_modules/handlebars/dist/cjs/handlebars/compiler/code-gen.js:130:39
      2    0.0%    0.1%  LazyCompile: *<anonymous> /home/leopoldo/CoderHouse/backend/backend_entregables/clase 16 - Logs debug profiling/node_modules/express-handlebars/dist/express-handlebars.js:201:47
      1    0.0%    0.0%  RegExp: ^\.|this\b
      1    0.0%    0.0%  RegExp: ^[!#$%&'*+\-.^_`|~0-9A-Za-z]+$
      1    0.0%    0.0%  RegExp: ^(?:false(?=([~}\s)])))
      1    0.0%    0.0%  RegExp: ^(?:\{\{(~)?\^\s*(~)?\}\})
      1    0.0%    0.0%  RegExp: ^(?:\{\{(~)?\^)
      1    0.0%    0.0%  RegExp: ^(?:\{\{(~)?&)
      1    0.0%    0.0%  RegExp: ^(?:\{\{(~)?#>)
      1    0.0%    0.0%  RegExp: ^(?:\{\{(~)?![\s\S]*?\}\})
      1    0.0%    0.0%  RegExp: ^(?:\s+)
      1    0.0%    0.0%  RegExp: ^(?:[\/.])
      1    0.0%    0.0%  RegExp: ^(?:=)
      1    0.0%    0.0%  RegExp: ^(?:(~)?\}\})
      1    0.0%    0.0%  RegExp: ^(?:"(\\["]|[^"])*")
