Statistical profiling result from sinConsoleLog.log, (5004 ticks, 10 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      1    0.0%    0.1%  LazyCompile: *pushStackLiteral /home/leopoldo/CoderHouse/backend/backend_entregables/clase 16 - Logs debug profiling/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:877:46
      1    0.0%    0.1%  LazyCompile: *parse /home/leopoldo/CoderHouse/backend/backend_entregables/clase 16 - Logs debug profiling/node_modules/vary/index.js:96:16
      1    0.0%    0.1%  LazyCompile: *parse /home/leopoldo/CoderHouse/backend/backend_entregables/clase 16 - Logs debug profiling/node_modules/minimatch/minimatch.js:413:9
      1    0.0%    0.1%  LazyCompile: *opcode /home/leopoldo/CoderHouse/backend/backend_entregables/clase 16 - Logs debug profiling/node_modules/handlebars/dist/cjs/handlebars/compiler/compiler.js:347:26
      1    0.0%    0.1%  LazyCompile: *objectLiteral /home/leopoldo/CoderHouse/backend/backend_entregables/clase 16 - Logs debug profiling/node_modules/handlebars/dist/cjs/handlebars/compiler/code-gen.js:123:40
      1    0.0%    0.1%  LazyCompile: *normalize path.js:1103:12
      1    0.0%    0.1%  LazyCompile: *lookupProperty /home/leopoldo/CoderHouse/backend/backend_entregables/clase 16 - Logs debug profiling/node_modules/handlebars/dist/cjs/handlebars/runtime.js:118:44
      1    0.0%    0.1%  LazyCompile: *lookupOnContext /home/leopoldo/CoderHouse/backend/backend_entregables/clase 16 - Logs debug profiling/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:448:44
      1    0.0%    0.1%  LazyCompile: *isAbsolute path.js:1132:13
      1    0.0%    0.1%  LazyCompile: *extend /home/leopoldo/CoderHouse/backend/backend_entregables/clase 16 - Logs debug profiling/node_modules/handlebars/dist/cjs/handlebars/utils.js:28:16
      1    0.0%    0.1%  LazyCompile: *_addListener events.js:428:22
      1    0.0%    0.1%  LazyCompile: *__generator /home/leopoldo/CoderHouse/backend/backend_entregables/clase 16 - Logs debug profiling/node_modules/express-handlebars/dist/express-handlebars.js:27:58
      1    0.0%    0.1%  LazyCompile: *SourceNode_add /home/leopoldo/CoderHouse/backend/backend_entregables/clase 16 - Logs debug profiling/node_modules/source-map/lib/source-node.js:172:51
      1    0.0%    0.1%  LazyCompile: *Module._nodeModulePaths internal/modules/cjs/loader.js:597:37
      1    0.0%    0.1%  LazyCompile: *<anonymous> :1:20
      1    0.0%    0.1%  LazyCompile: *<anonymous> /home/leopoldo/CoderHouse/backend/backend_entregables/clase 16 - Logs debug profiling/node_modules/handlebars/dist/cjs/handlebars/runtime.js:360:47
      1    0.0%    0.1%  LazyCompile: *<anonymous> /home/leopoldo/CoderHouse/backend/backend_entregables/clase 16 - Logs debug profiling/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:274:31
      1    0.0%    0.1%  LazyCompile: *<anonymous> /home/leopoldo/CoderHouse/backend/backend_entregables/clase 16 - Logs debug profiling/node_modules/handlebars/dist/cjs/handlebars/compiler/code-gen.js:85:24
